http://habrahabr.ru/company/infopulse/blog/274611/,2016-01-11,qc-enior,Использование apply, sapply, lapply в R,      Это вводная статья об использовании apply sapply и lapply она лучше всего подходит для людей которые недавно работают с R или незнакомы с этими функциями. Я приведу несколько примеров использования функций семейства apply поскольку они часто применяются при работе в R.Я сравнивал эти три метода на наборе данных. Была сгенерирована выборка и они к ней применялись. Хотелось посмотреть чем отличаются результаты их применения.Также использовался тестовый стенд который возвращал матрицу. В ней 
http://habrahabr.ru/company/ibm/blog/274807/,2016-01-11,marks,Высокоскоростной протокол передачи файлов – Aspera FASP,      В настоящее время в век популярности Интернет и разнообразного контента в том числе медийного размер которого в HD-качестве может занимать несколько Гигабайт наиболее остро встала проблема скоростной передачи файлов по сети. В качестве примера можно рассмотреть работу новостной телестудии где репортер находясь на другом континенте должен быстро передать снятый в высоком качестве репортаж в центральную студию для обработки и запуска в эфир. Понятно что здесь скорость передачи играет ключеву
http://habrahabr.ru/company/muk/blog/272791/,2016-01-11,Muk,Обзор-демонстрация VMware NSX,      Кто желает ознакомится с демо в текстовом виде — под катом расшифровка демонстрации и скриншоты. Дисклеймеры:1. Стенограмма с небольшой редактурой. 2. Просим помнить о разнице в письменной и устной речи.3. Скриншоты в большом размере иначе ничего не разобрать.Коллеги добрый день. Мы начинаем демонстрацию VMware NSX. Итак что бы хотелось сегодня показать. Наша демо-инфраструктура развернута на базе нашего дистрибьютора MUK. Инфраструктура достаточно небольшая — это три сервера серверы есть 
http://habrahabr.ru/company/emc/blog/274245/,2016-01-11,Rigasproutes,GlassRAT: анализ трояна из Китая с помощью RSA Security Analytics и RSA ECAT,      Специалистами RSA Research была обнаружена троянская программа GlassRAT для удаленного администрирования (Remote Administration Tool — RAT) с «нулевым уровнем обнаружения» подписанная сертификатом украденным или полученным от популярного китайского разработчика ПО. Эта вредоносная программа могла избегать обнаружения на протяжении несколько лет. Телеметрия и ограниченные отчеты не выдерживающие никакой критики свидетельствуют что целью GlassRAT являлись китайские граждане связанные с транс
http://habrahabr.ru/company/mosigra/blog/274373/,2016-01-11,Milfgard,@@@ Да вы задолбали своим информационным обществом,      Диск с музыкой. Работает почти как AudioCD. Предположим вы хотите отправить срочное сообщение своему коллеге. Сегодня вы отправляете почту сообщение в соцсети или SMS. Спускаемся ниже по истории. Что было до этого? Факс. Он был аналогом современной электронной почты: сообщение передавалось мгновенно вылезало из устройства и было готово к прочтению. Идём глубже. Факса и телефона теперь тоже нет. Вы отправляете телеграмму. Как раз серьёзные телеграфные узлы были вытеснены с бигбона телефонам
http://habrahabr.ru/post/274805/,2016-01-11,VaalKIA,К вопросу о таймерах в ОСРВ (Выводы),      В кратце опишу содержание статьи:Есть циклический аппаратный счётчик который например считает секунды и есть прерывание по его переполнению. Расширяем диапазон счисления программным способом инкременируя значение другой ячейки в прерывании. Таким образом получаем возможность считать и минуты. Суть проблемы в том что в общем случае одновременно прочитать значение минут и секунд невозможно а при последовательном считывании может произойти прерывание и увеличение минут. Последствия: путешеств
http://habrahabr.ru/company/nixsolutions/blog/273755/,2016-01-11,NIX_Solutions,Почему я так сильно люблю EF, или Фичи, от которых сложно отказаться,      Недавно мы опубликовали статью написанную по результатам посещения конференции DEVIntersection. Предлагаем вашему вниманию ещё одну полезную «выжимку» посвящённую Entity Framework (EF).            Читать дальше →                          
http://habrahabr.ru/post/274803/,2016-01-11,Ingran85,Использование МатАнализа в компьютерных играх (часть 2),      Ключевые слова: Задача о коллекции; Wolfram Alpha; Wolfram Mathematica; числа Стирлинга второго рода; матанализ; теория вероятностей; мат ожидание; медиана; квантиль; компьютерные игры; коллекция вкладышей; функция распределения случайной величины; плотность вероятности ArcheAge.ВведениеКогда остается заполучить только три из ста предметов для того чтобы собрать всю коллекцию (вкладышей жвачек БомБимБома или Турбо или набора тяжелых доспехов для персонажа компьютерной игры) то огонь в глаз
http://habrahabr.ru/post/274801/,2016-01-11,pavel_dolbik,Custom rounded view,      ВведениеВ наше время существует много пользователей на мобильных устройствах которых установлено приложение Instagram. В данном приложении существует замечательная функция – поделится понравившимся изображением. И при выборе пользователя которому мы желаем отправить понравившейся пост мы видим скругленный аватар при клике на который отображается анимация и осуществляется выделение. Реализацию данного элемента мне захотелось повторить.            Читать дальше →                    
http://habrahabr.ru/post/274721/,2016-01-11,mkoloskov,БЭМ одержимость. Последствие параметрического дизайна,      Тысячи часов было инвестировано мной вхолостую. Если верить правилу 10 000 часов то еще не много и я мог бы стать сносным скрипачем ремесленником спортсменом или еще кем-то. Но в разработке и дизайне это не работает. Весь шлак удаляется и часы обнуляются. А число ошибок и скорость изменения настолько велика что мысли о приобретенном опыте можно отбросить.Порог входа в формирование экосистемы для своего проекта или семейства проектов не должен быть таким сумасшедшим и к нему не надо относит
http://habrahabr.ru/post/274719/,2016-01-11,mkoloskov,Параметрический дизайн. Следующие пол шага после Дизайна в браузере,      Дизайн в браузере — Параметрический дизайн — Автоматический дизайнНачну с фразы Григория Бакунова которую большинство выпустили из внимания но я не мог проскочить мимо нее.«Произойдет вытеснение на рынок большого количество специалистов которые в этот раз вместо того чтоб рисовать дизайн будут настраивать средства для построения автоматического дизайна»Это было упомянуто в контексте автоматического дизайна что сразу приковало мое внимание. Детально я пока слабо представляю техническую реал
